fact_id,source_system,source_file,canal_origen,canal_movimiento,tipo_movimiento,es_devolucion,fecha_movimiento_raw,fecha_movimiento,store_id_raw,store_id_std,doc_tipo,doc_id_raw,doc_id_std,line_id_raw,line_id_std,return_id,customer_id_raw,customer_id_std,flag_customer_in_crm,product_id_raw,product_id_std,flag_product_in_master,descripcion_producto,categoria,subcategoria,cantidad_raw,cantidad_signed,cantidad_abs,precio_unitario_raw,precio_unitario_num,descuento_pct_raw,descuento_pct_num,descuento_importe_raw,descuento_importe_num,importe_linea_raw,importe_signed_num,importe_abs_num,moneda,iva_pct,coste_unitario_num,coste_total_num,margen_bruto_num,metodo_pago,estado_pedido,origen,ticket_id_original,ticket_line_id_original,order_id_original,order_line_id_original,motivo_devolucion,metodo_devolucion,caja_id,cajero_id,flag_fecha_parseada,flag_importe_parseado,nombre_producto,precio_venta_num,estado_producto
F000001,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-05-11 15:46:46,2025-05-11 15:46:46,ONLINE,ONLINE,ORDER,O-202400001,O-202400001,OL-0000001,OL-0000001,,C0014,C0014,1,P1078,P1078,1,Estantería Atlas 160cm,Muebles,Estanterías,2,2.0,2.0,730.66,730.66,,,,,1461.32,1461.32,1461.32,EUR,21,497.07,994.14,467.17999999999995,Tarjeta,Pendiente,marketplace,,,O-202400001,OL-0000001,,,,,1,1,Estantería Atlas 160cm,702.02,Activo
F000002,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-05-11 15:46:46,2025-05-11 15:46:46,ONLINE,ONLINE,ORDER,O-202400001,O-202400001,OL-0000002,OL-0000002,,C0014,C0014,1,P1071,P1071,1,"Bombilla Aurora ""Star""",Iluminación,Bombillas,1,1.0,1.0,134.46,134.46,5,5.0,6.72,6.72,"127,74",127.74,127.74,EUR,21,81.49,81.49,46.25,Tarjeta,Pendiente,marketplace,,,O-202400001,OL-0000002,,,,,1,1,"Bombilla Aurora ""Star""",136.91,Descatalogado
F000003,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-05-11 15:46:46,2025-05-11 15:46:46,ONLINE,ONLINE,ORDER,O-202400001,O-202400001,OL-0000003,OL-0000003,,C0014,C0014,1,P1051,P1051,1,Alfombra Aurora Set 2 uds,Textil hogar,Alfombras,1,1.0,1.0,"22,62",22.62,5,5.0,1.13,1.13,21.49,21.49,21.49,EUR,21,12.4,12.4,9.089999999999998,Tarjeta,Pendiente,marketplace,,,O-202400001,OL-0000003,,,,,1,1,Alfombra Aurora Set 2 uds,23.53,Descatalogado
F000004,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-05-11 15:46:46,2025-05-11 15:46:46,ONLINE,ONLINE,ORDER,O-202400001,O-202400001,OL-0000004,OL-0000004,,C0014,C0014,1,,,0,,,,2,2.0,2.0,448.87,448.87,,,,,897.74,897.74,897.74,EUR,,,,,Tarjeta,Pendiente,marketplace,,,O-202400001,OL-0000004,,,,,1,1,,,
F000005,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-05-11 15:46:46,2025-05-11 15:46:46,ONLINE,ONLINE,ORDER,O-202400001,O-202400001,OL-0000005,OL-0000005,,C0014,C0014,1,P1037,P1037,1,"Bombilla Boreal ""Star""",Iluminación,Bombillas,2,2.0,2.0,51.54,51.54,,,,,€103.08,103.08,103.08,EUR,21,25.43,50.86,52.22,Tarjeta,Pendiente,marketplace,,,O-202400001,OL-0000005,,,,,1,1,"Bombilla Boreal ""Star""",50.59,Descatalogado
F000006,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,20/03/2024 09:20,2024-03-20 09:20:00,ONLINE,ONLINE,ORDER,O-202400002,O-202400002,OL-0000006,OL-0000006,,C0006,C0006,1,P1064,P1064,1,Estantería Minimal 120cm,Muebles,Estanterías,1,1.0,1.0,449.48,449.48,,,,,449,449.0,449.0,EUR,21,210.29,210.29,238.71,Tarjeta,Devuelto Parcial,marketplace,,,O-202400002,OL-0000006,,,,,1,1,Estantería Minimal 120cm,447.43,Activo
F000007,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,20/03/2024 09:20,2024-03-20 09:20:00,ONLINE,ONLINE,ORDER,O-202400002,O-202400002,OL-0000007,OL-0000007,,C0006,C0006,1,,,0,,,,1,1.0,1.0,893.89,893.89,,,,,893.89,893.89,893.89,EUR,,,,,Tarjeta,Devuelto Parcial,marketplace,,,O-202400002,OL-0000007,,,,,1,1,,,
F000008,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-05-06 08:05:31,2024-05-06 08:05:31,ONLINE,ONLINE,ORDER,O-202400003,O-202400003,OL-0000008,OL-0000008,,C9999,C9999,0,P1036,P1036,1,Cortina Aurora 90x200,Textil hogar,Cortinas,1,1.0,1.0,"26,02",26.02,,,,,26.02,26.02,26.02,EUR,21,18.23,18.23,7.789999999999999,Tarjeta,Entregado,marketplace,,,O-202400003,OL-0000008,,,,,1,1,Cortina Aurora 90x200,26.11,Activo
F000009,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-05-06 08:05:31,2024-05-06 08:05:31,ONLINE,ONLINE,ORDER,O-202400003,O-202400003,OL-0000009,OL-0000009,,C9999,C9999,0,P1041,P1041,1,Vela Luna ★,Decoración,Velas,3,3.0,3.0,118.27,118.27,5,5.0,17.74,17.74,"337,07",337.07,337.07,EUR,21,51.47,154.41,182.66,Tarjeta,Entregado,marketplace,,,O-202400003,OL-0000009,,,,,1,1,Vela Luna ★,120.85,Activo
F000010,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-05-06 08:05:31,2024-05-06 08:05:31,ONLINE,ONLINE,ORDER,O-202400003,O-202400003,OL-0000010,OL-0000010,,C9999,C9999,0,P1001,P1001,1,Cuadro Atlas ★,Decoración,Cuadros,1,1.0,1.0,33.11,33.11,25,25.0,8.28,8.28,€24.83,24.83,24.83,EUR,21,21.79,21.79,3.039999999999999,Tarjeta,Entregado,marketplace,,,O-202400003,OL-0000010,,,,,1,1,Cuadro Atlas ★,31.63,Activo
