order_line_id,order_id,product_id,descripcion_producto,categoria,subcategoria,cantidad,precio_unitario,descuento_pct,descuento_importe,importe_linea,iva_pct
OL-0000001,O-202400001,P1078,Estantería Atlas 160cm,Muebles,Estanterías,2,730.66,,,1461.32,21
OL-0000002,O-202400001,P1071,"Bombilla Aurora ""Star""",Iluminación,Bombillas,1,134.46,5,6.72,"127,74",21
OL-0000003,O-202400001,P1051,Alfombra Aurora Set 2 uds,Textil hogar,Alfombras,1,"22,62",5,1.13,21.49,21
OL-0000004,O-202400001,,,N/A,,2,448.87,,,897.74,21
OL-0000005,O-202400001,P1037,"Bombilla Boreal ""Star""",Iluminación,Bombillas,2,51.54,,,€103.08,21
OL-0000006,O-202400002,P1064,Estantería Minimal 120cm,Muebles,Estanterías,1,449.48,,,449,21
OL-0000007,O-202400002,,,,,1,893.89,,,893.89,21
OL-0000008,O-202400003,P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,1,"26,02",,,26.02,21
OL-0000009,O-202400003,P1041,Vela Luna ★,Decoración,Velas,3,118.27,5,17.74,"337,07",21
OL-0000010,O-202400003,P1001,Cuadro Atlas ★,Decoración,Cuadros,1,33.11,25,8.28,€24.83,10
OL-0000011,O-202400003,P1039,Cuadro Nórdico ★,Decoración,Cuadros,2,223.73,20,89.49,357.97,21
OL-0000012,O-202400004,P1064,Estantería Minimal 120cm,Muebles,Estanterías,1,405.14,,,€405.14,21
OL-0000013,O-202400004,P1030,Sofá Vintage XL,Muebles,Sofás,1,930.99,30,€279.30,€651.69,21
OL-0000014,O-202400004,P1077,"Aplique Atlas ""Star""",Iluminación,Apliques,1,212.43,5,10.62,201.81,10
OL-0000015,O-202400004,P1062,Sábana Brisa Pack 4,Textil hogar,Sábanas,3,,,,"568,59",21
OL-0000016,O-202400005,P1030,Sofá Vintage XL,Muebles,Sofás,1,948.84,25,"237,21",711.63,21
OL-0000017,O-202400005,P1078,Estantería Atlas 160cm,Muebles,Estanterías,1,707.07,10,70.71,"636,36",21
OL-0000018,O-202400006,P1048,Mesa Minimal 160cm,Muebles,Mesas,2,469.75,,,939.50,21
OL-0000019,O-202400006,P1018,Cojine Minimal ★,Decoración,Cojines,1,187.54,5,"9,38","178,16",10
OL-0000020,O-202400006,P1007,Figura Boreal ★,Decoración,Figuras,4,"245,55",,,982.20,21
OL-0000021,O-202400007,P1046,"Aplique Atlas ""Star""",Iluminación,Apliques,1,346.34,0,0.00,€346.34,10
OL-0000022,O-202400007,P1018,Cojine Minimal ★,Decoración,Cojines,1,176.13,10,17.61,"158,52",21
OL-0000023,O-202400008,P1040,Manta Boreal 140x200,Textil hogar,Mantas,2,€29.95,30,"17,97",41.93,21
