payment_id,ticket_id,fecha_pago,store_id,caja_id,cajero_id,metodo_pago,importe_pagado,moneda,referencia_autorizacion,estado_pago,observaciones
PAY-0000001, T-500031,2025-09-28 10:29:00,S004,CAJ02,EMP074,CC,€848.91,EUR,NQ4FMYZY,OK,
PAY-0000002, T-500031,28/09/25 10:29,S004,CAJ02,EMP074,Vale,113.42,EUR,OC6UZHR5XF,OK,
PAY-0000003, T-500039,07/04/25 00:50,S003,CAJ02,EMP006,Visa/Mastercard,66.51,EUR,VQJT7YE511M,OK,
PAY-0000004, T-500069,17/05/25 19:52,S005,CAJ05,EMP030,Visa/Mastercard,1572.10,EUR,VREN93II,OK,
PAY-0000005, T-500199,2025-02-28 18:54:00,,CAJ03,EMP028,Tarjeta (Crédito),330.98,EUR,9XPSEIMVIHC,OK,
PAY-0000006, T-500199,28/02/2025 18:54,,CAJ03,EMP028,Tarjeta Débito,201.46,EUR,3GDPPQ0Y9DO,OK,
PAY-0000007, T-500203,02/09/25 02:42,S003,CAJ01,EMP051,EFECTIVO,668.40,EUR,,OK,
PAY-0000008, T-500223,19/08/25 02:40,S002,CAJ07,EMP023,Tarjeta credito,1216.67,EUR,8UT0CVS4F,OK,
PAY-0000009, T-500345,05/09/2025 00:00,S002,CAJ05,,CC,€274.73,EUR,IOYKL1CQ99,OK,
PAY-0000010, T-500348,2025-12-27 13:20:59,S002,CJ02,EMP027,TARJETA CREDITO,"1,447.67",,0FKHMY4S,OK,
PAY-0000011, T-500356,30/03/2025,S003,CAJ07,EMP016,Tarjeta (Débito),,EUR,UFEL6246HI,OK,
PAY-0000012, T-500357,19/09/25 14:44,S005,CAJ03,EMP029,Cash,51.53 EUR,EUR,J2D54I3QK,OK,
PAY-0000013, T-500357,19/09/25 14:44,S005,CAJ03,EMP029,CC,64.05,EUR,G8JDP0LVSN,OK,
PAY-0000014, T-500414,23/09/2025 10:46,S004,CAJ05,EMP069,Tarjeta Crédito,454.44,EUR,,OK,
PAY-0000015, T-500434,17/01/25 17:51,S001,CAJ08,EMP021,cash,"910,41",EUR,QPHR62GDSW,OK,
PAY-0000016, T-500435,15/02/25 01:48,S001,CAJ03,EMP004,Visa/Mastercard,263.85,EUR,6452H2ZQ,OK,
